command	status	help_flag	bytes	version
010editor	absent		0	
0trace	absent		0	
1768.py	absent		0	
2to3	present	--help	1301	
7-zip	absent		0	
7z	present	--help	3140	
7za	present	--help	3146	
7zip	absent		0	
7zr	present	--help	3127	
Activate.ps1	present		0	
AmcacheParser	present	--help	1710	2026.5.0+76dc8354aa98ce1e1c6f942abcfb09f583f411dd
AppCompatCacheParser	present	--help	1395	2026.5.0+0cf059f40c2f7b31acdccb142461945402217398
EvtxECmd	present	--help	2865	2026.5.0+bfc7f47ccbf65ffc9a3777cde5498db2fdd94664
JLECmd	present	--help	2802	2026.5.0+15d8f46f083d04c9a5cbb1f0fad37c1225da43f6
LECmd	present	--help	2317	2026.5.0+def1fc2686af4684d06a889b1315f225187ac8f7
MFTECmd	present	--help	4203	2026.5.0+4fd94a6bd12237e8501baff5fc9e5b1b01c53862
PECmd	present	--help	2313	2026.5.0+bde430c69ba4d97fea8b71fdddb6df7849419c10
RBCmd	present	--help	1328	2026.5.0+72d305ee2aa7e5bf4e5e1e01576b34ab402038a6
RECmd	present	--help	2802	2026.5.0+bcd0ac33ed98de61ea6de551eef96052bddbbd49
RecentFileCacheParser	present	--help	1177	2026.5.0+722ea4c06bcb9150cdadbe96a650f525578dbd6d
SBECmd	present	--help	1718	2026.5.0+5d73145683f1bfaeb4aec4d080badcb7b7cadb93
SrumECmd	present	--help	1290	2026.5.0+880ad26bcb011976a8fc521eea63fc5e6e65ba02
SumECmd	present	--help	1003	2026.5.0+8227da19559d4d4f9f45aefabbae7a37fd4f6384
VSCMount	present		0	
WxTCmd	present	--help	1063	2026.5.0+adbf96ed9c73dc6806d97b96160bb96bccd48f7a
X11	absent		0	
XORSearch	present	--help	2704	xorsearch.py 0.0.5
above	absent		0	
absent	absent		0	
accept-all-ips	absent		0	
activate	present		0	
activate.csh	present		0	
activate.fish	present		0	
add-shell	present	-h	151	
addgnupghome	present		0	
addgroup	present	--help	1123	adduser version 3.134
addpart	present	--help	239	addpart from util-linux 2.38.1
addr2line	present	--help	1279	GNU addr2line (GNU Binutils for Debian) 2.40
adduser	present	--help	1123	adduser version 3.134
advanced-installer	absent		0	
aesfix	absent		0	
aeskeyfind	present	--help	418	
aeskeyfinder	absent		0	
affcat	present	--help	806	affcat version 3.7.20
affcompare	present	--help	2258	affcompare version 3.7.20
affconvert	present	--help	144	affconvert version 3.7.20
affcrypto	present	--help	1763	affcrypto version 3.7.20
affinfo	present	--help	1149	affinfo version 3.7.20
affix	present	--help	179	affix version 3.7.20
affrecover	present		0	affrecover version 3.7.20
affsegment	present	--help	1359	affsegment version 3.7.20
affsign	present	--help	686	affsign version 3.7.20
affstats	present	--help	184	affstats version 3.7.20
affuse	present	--help	3145	
affverify	present	--help	287	affverify version 3.7.20
afl++	absent		0	
agetty	present	--help	2196	agetty from util-linux 2.38.1 (flow control, hints, issue, issue.d, keyboard mode, plymouth, reload, syslog, widechar)
aircrack-ng	present	--help	3017	aircrack-ng: unrecognized option '--version'
androguard	absent		0	
androidprojectcreator	absent		0	
angr	absent		0	
anomy	absent		0	
apache-users	absent		0	
apache2	absent		0	
apimonitor	absent		0	
apkid	absent		0	
apktool	absent		0	
appcompat	present	--help	2435	Version: 0.9.1
applygnupgdefaults	present		0	
apt	present	--help	1289	apt 2.6.1 (amd64)
apt-cache	present	--help	1189	apt 2.6.1 (amd64)
apt-cdrom	present	--help	656	apt 2.6.1 (amd64)
apt-config	present	--help	634	apt 2.6.1 (amd64)
apt-get	present	--help	1618	apt 2.6.1 (amd64)
apt-key	present	--help	738	Unknown option: --version
apt-mark	present	--help	1117	apt 2.6.1 (amd64)
ar	present	--help	2178	GNU ar (GNU Binutils for Debian) 2.40
arch	present	--help	351	arch (GNU coreutils) 9.1
armitage	absent		0	
arp-scan	present	--help	10445	arp-scan 1.10.0
arpd	present	--help	151	
arping	absent		0	
as	present	--help	10853	GNU assembler (GNU Binutils for Debian) 2.40
asan_symbolize-15	present	--help	1914	
asar	absent		0	
autoit-ripper	absent		0	
autopsy	absent		0	
avfs	absent		0	
awk	present	(no args)	1154	awk: not an option: --version
aws-cli	absent		0	
b2sum	present	--help	1819	b2sum (GNU coreutils) 9.1
badblocks	present	--help	294	
baksmali	absent		0	
balbuzard	absent		0	
base32	present	--help	1049	base32 (GNU coreutils) 9.1
base64	present	--help	1049	base64 (GNU coreutils) 9.1
base64dump	present	--help	3352	base64dump.py 0.0.30
base64dump.py	present	--help	3352	base64dump.py 0.0.30
basename	present	--help	956	basename (GNU coreutils) 9.1
basenc	present	--help	1677	basenc (GNU coreutils) 9.1
bash	present	--help	764	GNU bash, version 5.2.15(1)-release (x86_64-pc-linux-gnu)
bashbug	present	--help	598	GNU bashbug, version 5.2.15-release
bbcrack	absent		0	
bbharvest	absent		0	
bbtrans	absent		0	
bdeinfo	present	--help	768	
bdemount	present	--help	1078	
bearcommander	absent		0	
bearparser	absent		0	
bed	absent		0	
beef-xss	absent		0	
bettercap	absent		0	
binaryninja	absent		0	
bindiff	absent		0	
binee	absent		0	
binwalk	present	--help	4245	
binwalk3	absent		0	
bless	absent		0	
blkcalc	present	--help	919	The Sleuth Kit ver 4.11.1
blkcat	present	--help	978	The Sleuth Kit ver 4.11.1
blkdiscard	present	--help	708	blkdiscard from util-linux 2.38.1
blkid	present	--help	2033	blkid from util-linux 2.38.1  (libblkid 2.38.1, 04-Aug-2022)
blkls	present	--help	872	The Sleuth Kit ver 4.11.1
blkstat	present	--help	652	The Sleuth Kit ver 4.11.1
blkzone	present	--help	956	blkzone from util-linux 2.38.1
blobrunner	absent		0	
blobrunner64	absent		0	
blockdev	present	--help	1478	blockdev from util-linux 2.38.1
blt	absent		0	
box-export	absent		0	
box-js	absent		0	
braa	absent		0	
bridge	present	--help	337	"Option ""-version"" is unknown, try ""bridge help""."
brxor.py	absent		0	
bstrings	present	--help	3307	2026.5+6cca053120b10a1c5cb563e3574ec7b2e0e894e3
bulk_extractor	present	--help	8755	bulk_extractor 2.2.0-DEVELOP
bunzip2	present	--help	1248	bzip2, a block-sorting file compressor.  Version 1.0.8, 13-Jul-2019.
burp-suite-community-edition	absent		0	
burpsuite	absent		0	
bytecode-viewer	absent		0	
bytecodeviewer	absent		0	
bytehist	absent		0	
bzcat	present	--help	1246	bzip2, a block-sorting file compressor.  Version 1.0.8, 13-Jul-2019.
bzcmp	present		0	bzcmp: version not found or not a regular file
bzdiff	present		0	bzdiff: version not found or not a regular file
bzegrep	present		0	
bzexe	present		0	bzexe: --version not a file
bzfgrep	present		0	
bzgrep	present		0	
bzip2	present	--help	1246	bzip2, a block-sorting file compressor.  Version 1.0.8, 13-Jul-2019.
bzip2recover	present	(no args)	163	bzip2recover 1.0.8: extracts blocks from damaged .bz2 files.
bzless	present	--help	1269	------> --version <------
bzmore	present	--help	1269	------> --version <------
c++	present	--help	4090	c++ (Debian 12.2.0-14+deb12u1) 12.2.0
c++filt	present	--help	1006	GNU c++filt (GNU Binutils for Debian) 2.40
c89	present	--help	4090	gcc (Debian 12.2.0-14+deb12u1) 12.2.0
c89-gcc	present	--help	4090	gcc (Debian 12.2.0-14+deb12u1) 12.2.0
c99	present	--help	4090	gcc (Debian 12.2.0-14+deb12u1) 12.2.0
c99-gcc	present	--help	4090	gcc (Debian 12.2.0-14+deb12u1) 12.2.0
c_rehash	present	-h	152	
cabextract	present	--help	986	cabextract version 1.9
cadaver	absent		0	
capa	present	--help	4392	capa 9.4.0
capa-explorer-web	absent		0	
capa-offline	present	--help	4392	capa 9.4.0
capinfos	present	--help	2219	Capinfos (Wireshark) 4.0.17 (Git v4.0.17 packaged as 4.0.17-0+deb12u3).
capsh	present	--help	2425	
captoinfo	present	--help	1749	ncurses 6.4.20221231
captype	present	--help	326	Captype (Wireshark) 4.0.17 (Git v4.0.17 packaged as 4.0.17-0+deb12u3).
cat	present	--help	1107	cat (GNU coreutils) 9.1
cc	present	--help	4088	cc (Debian 12.2.0-14+deb12u1) 12.2.0
ccrypt	present	--help	2004	ccrypt 1.11. Secure encryption and decryption of files and streams.
cewl	absent		0	
cffi-gen-src	present	--help	406	
cfr	absent		0	
chage	present	--help	884	chage: unrecognized option '--version'
chainsaw	present	--help	1336	chainsaw 2.16.0
chattr	present		0	Usage: chattr [-RVf] [-+=aAcCdDeijPsStTuFx] [-p project] [-v version] files...
chcon	present	--help	2039	chcon (GNU coreutils) 9.1
chcpu	present	--help	494	chcpu from util-linux 2.38.1
chepy	absent		0	
chfn	present	--help	477	chfn: unrecognized option '--version'
chgpasswd	present	--help	569	chgpasswd: unrecognized option '--version'
chgrp	present	--help	1949	chgrp (GNU coreutils) 9.1
chkrootkit	absent		0	
chmem	present	--help	482	chmem from util-linux 2.38.1
chmod	present	--help	1079	chmod (GNU coreutils) 9.1
chntpw	absent		0	
choom	present	--help	369	choom from util-linux 2.38.1
chown	present	--help	2614	chown (GNU coreutils) 9.1
chpasswd	present	--help	568	chpasswd: unrecognized option '--version'
chrome.extensions	absent		0	
chromium-browser	absent		0	
chroot	present	--help	703	chroot (GNU coreutils) 9.1
chrt	present	--help	1116	chrt from util-linux 2.38.1
chsh	present	--help	232	chsh: unrecognized option '--version'
cisco-global-exploiter	absent		0	
cisco-ocs	absent		0	
cisco-torch	absent		0	
cksum	present	--help	2165	cksum (GNU coreutils) 9.1
clambc	present	--help	1229	Clam AntiVirus Bytecode Testing Tool 1.4.3
clamdscan	absent		0	
clamscan	present	--help	8404	ClamAV 1.4.3
clamsubmit	present	--help	819	ClamAV 1.4.3
clang	absent		0	
clang++-15	present	--help	65536	Debian clang version 15.0.6
clang-15	present	--help	65536	Debian clang version 15.0.6
clang-cpp-15	present	--help	65536	Debian clang version 15.0.6
clang-format-radare2	present	--help	1139	clang-format-radare2 1.0
claude-code	absent		0	
clear	present	--help	181	ncurses 6.4.20221231
