command	status	help_flag	bytes	version
010editor	absent		0	
0trace	absent		0	
1768.py	absent		0	
7-zip	absent		0	
7za	present	--help	3146	
7zip	absent		0	
above	absent		0	
absent	absent		0	
accept-all-ips	absent		0	
advanced-installer	absent		0	
aesfix	absent		0	
aeskeyfind	absent		0	
aeskeyfinder	absent		0	
affcat	absent		0	
affconvert	absent		0	
affinfo	absent		0	
afl++	absent		0	
aircrack-ng	absent		0	
androguard	absent		0	
androidprojectcreator	absent		0	
angr	absent		0	
anomy	absent		0	
apache-users	absent		0	
apache2	absent		0	
apimonitor	absent		0	
apkid	absent		0	
apktool	absent		0	
armitage	absent		0	
arp-scan	absent		0	
arping	absent		0	
asar	absent		0	
autoit-ripper	absent		0	
autopsy	absent		0	
avfs	absent		0	
aws-cli	absent		0	
baksmali	absent		0	
balbuzard	absent		0	
base64dump.py	absent		0	
bbcrack	absent		0	
bbharvest	absent		0	
bbtrans	absent		0	
bearcommander	absent		0	
bearparser	absent		0	
bed	absent		0	
beef-xss	absent		0	
bettercap	absent		0	
binaryninja	absent		0	
bindiff	absent		0	
binee	absent		0	
binwalk	absent		0	
binwalk3	absent		0	
bless	absent		0	
blkls	present	--help	872	The Sleuth Kit ver 4.11.1
blobrunner	absent		0	
blobrunner64	absent		0	
blt	absent		0	
box-export	absent		0	
box-js	absent		0	
braa	absent		0	
brxor.py	absent		0	
bulk_extractor	absent		0	
burp-suite-community-edition	absent		0	
burpsuite	absent		0	
bytecode-viewer	absent		0	
bytecodeviewer	absent		0	
bytehist	absent		0	
cabextract	absent		0	
cadaver	absent		0	
capa	present	--help	4392	capa 9.4.0
capa-explorer-web	absent		0	
capinfos	absent		0	
ccrypt	absent		0	
cewl	absent		0	
cfr	absent		0	
chepy	absent		0	
chkrootkit	absent		0	
chntpw	absent		0	
chrome.extensions	absent		0	
chromium-browser	absent		0	
cisco-global-exploiter	absent		0	
cisco-ocs	absent		0	
cisco-torch	absent		0	
clamdscan	absent		0	
clamscan	absent		0	
clang	absent		0	
claude-code	absent		0	
cmder	absent		0	
cmospwd	absent		0	
code	absent		0	
codetrack	absent		0	
commix	absent		0	
convert	absent		0	
copy-router-config	absent		0	
crackle	absent		0	
creddump7	absent		0	
crunch	absent		0	
cryptcat	absent		0	
cryptotester	absent		0	
cryptsetup	absent		0	
cs-analyze-processdump.py	absent		0	
cs-decrypt-metadata.py	absent		0	
cs-extract-key.py	absent		0	
cs-parse-traffic.py	absent		0	
csce	absent		0	
curl	present	--help	914	curl 7.88.1 (x86_64-pc-linux-gnu) libcurl/7.88.1 OpenSSL/3.0.20 zlib/1.2.13 brotli/1.0.9 zstd/1.5.4 libidn2/2.3.3 libpsl/0.21.2 (+libidn2/2.3.3) libssh2/1.10.0 nghttp2/1.52.0 librtmp/2.3 OpenLDAP/2.5.13
cut-bytes.py	absent		0	
cutter	absent		0	
cutycapt	absent		0	
cyberchef	absent		0	
cygwin	absent		0	
cymothoa	absent		0	
d2j-dex2jar	absent		0	
darkstat	absent		0	
davtest	absent		0	
dbd	absent		0	
dc3-mwcp	absent		0	
dc3dd	absent		0	
dcfldd	absent		0	
ddrescue	absent		0	
de4dot	absent		0	
de4dot-cex	absent		0	
debloat	absent		0	
decai	absent		0	
decode-vbe.py	absent		0	
decompyle++	absent		0	
default-jre	absent		0	
default-mysql-server	absent		0	
dependencywalker	absent		0	
dex2jar	absent		0	
dexray	absent		0	
dhcpig	absent		0	
didier-stevens-beta	absent		0	
didier-stevens-suite	absent		0	
die	absent		0	
diec	absent		0	
dirb	absent		0	
dirbuster	absent		0	
disitool	absent		0	
disitool.py	absent		0	
disktype	absent		0	
dislocker	absent		0	
display	absent		0	
dissect	absent		0	
dll-to-exe	absent		0	
dllcharacteristics.py	absent		0	
dmitry	absent		0	
dnfile	absent		0	
dnlib	absent		0	
dns2tcp	absent		0	
dnschef	absent		0	
dnsenum	absent		0	
dnslib	absent		0	
dnsmap	absent		0	
dnspyex	absent		0	
dnsrecon	absent		0	
dnsresolver.py	absent		0	
dnstracer	absent		0	
dnswalk	absent		0	
docker	absent		0	
domainstats	absent		0	
dos2unix	absent		0	
dotdotpwn	absent		0	
dotdumper	absent		0	
dotnet	present	--help	950	
dotnet3.5	absent		0	
dotnetfile	absent		0	
driftnet	absent		0	
droidlysis	absent		0	
dsniff	absent		0	
dumpcap	absent		0	
dumpzilla	absent		0	
e2fsprogs	absent		0	
edb	absent		0	
edb-debugger	absent		0	
editcap	absent		0	
elastalert-2	absent		0	
elastic-agent	absent		0	
elastic-fleet	absent		0	
elasticsearch	absent		0	
emldump.py	absent		0	
ent	absent		0	
enum4linux	absent		0	
enumiax	absent		0	
epic-irc-client	absent		0	
epic5	absent		0	
etc	absent		0	
etherape	absent		0	
ettercap-graphical	absent		0	
evilclippy	absent		0	
evince	absent		0	
ewfacquire	absent		0	
ewfexport	absent		0	
ewfinfo	absent		0	
ewfmount	absent		0	
ewfverify	absent		0	
ex_pe_xor.py	absent		0	
exe2hexbat	absent		0	
exeinfope	absent		0	
exfat-extras	absent		0	
exfat-fuse	absent		0	
exif	absent		0	
exifprobe	absent		0	
exiftool	present		0	Error: File not found - version
exiv2	absent		0	
exploitdb	absent		0	
explorersuite	absent		0	
ext3grep	absent		0	
ext4magic	absent		0	
extract_msg	absent		0	
extreme_dumper	absent		0	
extundelete	absent		0	
eyewitness	absent		0	
ezhexviewer	present	--help	1593	
ezviewer	absent		0	
fakedns	absent		0	
fakemail	absent		0	
fakenet-ng	absent		0	
fcrackzip	absent		0	
fdupes	absent		0	
feh	absent		0	
ferret-sidejack	absent		0	
ffind	present	--help	748	The Sleuth Kit ver 4.11.1
fiddler	absent		0	
fierce	absent		0	
fiked	absent		0	
file	present	--help	3189	file-5.44
file-magic.py	absent		0	
filebeat	absent		0	
firefox	absent		0	
firewalk	absent		0	
firmware-mod-kit	absent		0	
flex	absent		0	
floss	present	--help	2337	floss 3.1.1
fls	present	--help	1353	The Sleuth Kit ver 4.11.1
foremost	absent		0	
forensic-artifacts	absent		0	
forensics-colorize	absent		0	
format-bytes.py	absent		0	
fping	absent		0	
fragrouter	absent		0	
freerdp3-x11	absent		0	
freqserver	absent		0	
freshclam	absent		0	
frida	absent		0	
frida-discover	absent		0	
frida-kill	absent		0	
frida-ls-devices	absent		0	
frida-ps	absent		0	
frida-trace	absent		0	
fsstat	present	--help	679	The Sleuth Kit ver 4.11.1
ftester	absent		0	
galculator	absent		0	
galleta	absent		0	
garbageman	absent		0	
gawk	absent		0	
gdb	absent		0	
gddrescue	absent		0	
ghex	absent		0	
ghidra	absent		0	
ghidrassistmcp	absent		0	
gnome-calculator	absent		0	
gnu-project-debugger	absent		0	
gnu-wget	absent		0	
gootloaderautojsdecode.py	absent		0	
goresym	absent		0	
gostringungarbler	absent		0	
gpart	absent		0	
gparted	absent		0	
gpp-decrypt	absent		0	
grafana	absent		0	
graphviz	absent		0	
grepcidr	absent		0	
grokevt	absent		0	
gthumb	absent		0	
guymager	absent		0	
gvm	absent		0	
gzrt	absent		0	
hachoir	absent		0	
hachoir-grep	absent		0	
hachoir-metadata	absent		0	
hachoir-strip	absent		0	
hachoir-wx	absent		0	
hakrawler	absent		0	
hamster-sidejack	absent		0	
hash-id	absent		0	
hash-id.py	absent		0	
hash-identifier	absent		0	
hashcat	absent		0	
hashcat-utils	absent		0	
hashdeep	absent		0	
hashid	absent		0	
hashmyfiles	absent		0	
heartleech	absent		0	
hex-to-bin.py	absent		0	
hexedit	absent		0	
hexinject	absent		0	
hivexget	present		0	
hivexregedit	absent		0	
hivexsh	present	help	333	hivexsh: failed to open hive file: version: No such file or directory
hollowshunter	absent		0	
hping3	absent		0	
httprint	absent		0	
httrack	absent		0	
hxd	absent		0	
hydra	absent		0	
hydra-gtk	absent		0	
iaxflood	absent		0	
ibus	absent		0	
ibus-setup	absent		0	
icat	present	--help	877	The Sleuth Kit ver 4.11.1
ida.plugin.capa	absent		0	
ida.plugin.comida	absent		0	
ida.plugin.delphihelper	absent		0	
ida.plugin.dereferencing	absent		0	
ida.plugin.diaphora	absent		0	
ida.plugin.flare	absent		0	
ida.plugin.flare-emu	absent		0	
ida.plugin.hashdb	absent		0	
ida.plugin.hrtng	absent		0	
ida.plugin.ifl	absent		0	
ida.plugin.xray	absent		0	
ida.plugin.xrefer	absent		0	
idafree	absent		0	
idr	absent		0	
idx_parser.py	absent		0	
ifpstools	absent		0	
ike-scan	absent		0	
ilm	absent		0	
ils	present	--help	1068	The Sleuth Kit ver 4.11.1
ilspy	absent		0	
imagemagick	absent		0	
img_stat	present	--help	340	The Sleuth Kit ver 4.11.1
inetsim	absent		0	
influxdb	absent		0	
info-zip	absent		0	
init	absent		0	
innoextract	absent		0	
innounp	absent		0	
inspircd-3	absent		0	
internet_detector	absent		0	
intrace	absent		0	
inviteflood	absent		0	
iodine	absent		0	
ipwhois	absent		0	
ipython	absent		0	
ipython3	absent		0	
irpas	absent		0	
isd	absent		0	
isr-evilgrade	absent		0	
istat	present	--help	1004	The Sleuth Kit ver 4.11.1
jadx	absent		0	
jadx-gui	absent		0	
java-idx-parser	absent		0	
javascript-deobfuscator	absent		0	
javasnoop	absent		0	
javassist	absent		0	
jboss-autopwn	absent		0	
jd-gui	absent		0	
jd-gui-java-decompiler	absent		0	
john	absent		0	
johnny	absent		0	
joomscan	absent		0	
jq	absent		0	
js	absent		0	
js-ascii	absent		0	
js-beautifier	absent		0	
js-beautify	absent		0	
js-deobfuscator	absent		0	
js-file	absent		0	
js_unshroud	absent		0	
jsql-injection	absent		0	
jstillery	absent		0	
kdiff3	absent		0	
keystone	absent		0	
kibana	absent		0	
kpartx	absent		0	
laudanum	absent		0	
lbd	absent		0	
legion	absent		0	
lft	absent		0	
lief	absent		0	
list-cs-settings	absent		0	
log2timeline.py	absent		0	
